iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0,942.478,0,0,0.33333,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1128.28,0,0,0.33333,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1118.13,0,0,0.33333,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1108.55,0,0,0.33333,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1099.51,0,0,0.33333,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,6936.68,9.0,0.345259,0.00131036,-0.000105728,0.0945088,0.0,1072.89,0,0,0.33333,3.01992e-07
60, 0.238,0.0,60,0.0,0.00927734,6936.69,9.0,0.345266,0.000347528,0.00537846,-0.0115493,0.156273,942.478,0,0,0.33333,-1.01884e-05
70, 0.44,0.0,70,0.0,0.0146484,6936.7,9.0,0.345253,-0.00146545,-0.00343686,0.00104731,0.00396029999993,942.478,0,0,0.333322,0.00124294
80, 0.642,0.0,80,0.0,0.0375977,6936.72,9.0,0.345327,0.00535524,-0.00170284,1.57784,1.26063,942.478,0,0,0.333265,0.00122387
90, 0.842,0.0,90,0.0,0.0898438,6936.77,9.0,0.345333,0.00644606,-0.00253151,2.32798,70,942.478,0,0,0.333265,0.000458066
100, 1.044,0.0,0,0.0,0.317871,6937.0,9.0,0.345396,-0.00175566,-0.0022829,5.75719,333,942.478,0,0,0.333265,0.000583951
110, 1.244,0.0,0,0.0,0.736328,6937.42,9.0,0.345362,-0.00162486,-0.00536762,9.30499,333,1170.21,0,0,0.333264,0.000794236
120, 1.444,0.0,0,0.0,1.20459,6937.89,9.0,0.345133,0.00994699,-0.00277331,8.93235,333,1133.92,0,0,0.333263,0.00111896
130, 1.644,0.0,0,0.0,1.80566,6938.49,9.0,0.345394,-0.00295556,-0.0080055,12.7148,333,1580.34,0,0,0.333262,0.00136787
140, 1.844,0.0,0,0.0,2.625,6939.31,9.0,0.345301,-0.00162026,-0.00872833,16.7608,333,2027.22,0,0,0.333261,0.00170213
150, 2.05,0.0,0,0.0,3.71729,6940.4,9.0,0.345247,-0.0017257,-0.0109125,21.5258,333,2608.59,0,0,0.333194,0.00212413
160, 2.27,0.0,0,0.0,5.03223,6941.71,9.0,0.344919,0.0102367,-0.0103922,22.134,333,2621.05,0,0,0.332297,0.00304395
170, 2.49,0.0,0,0.0,6.58252,6943.26,9.0,0.345219,-0.00516515,-0.013467,28.8309,333,3621.47,0,0,0.3314,0.00366909
180, 2.71,0.0,0,0.0,8.5918,6945.27,9.0,0.344969,-0.00745536,-0.0100043,35.1827,36.0347,3197.99,0,0,0.330306,0.00459034
190, 2.93,0.0,0,0.0,10.7183,6947.4,9.0,0.34486,0.0128787,-0.0128707,37.9126,333,4528.31,0,0,0.329147,0.00453788
200, 3.15,0.0,0,0.0,13.2925,6949.97,9.0,0.344643,-0.00861793,-0.0138129,45.9889,333,5611.99,0,0,0.327577,0.00456411
210, 3.37,0.0,0,0.0,16.3486,6953.03,9.0,0.344229,-0.00527324,-0.0599337,53.6468,333,6545.84,0,0,0.325741,0.00460035
220, 3.59,0.0,0,0.0,19.8467,6956.53,9.0,0.3438,-0.0153975,-0.00615579,57.1656,333,4448.96,0,0,0.323587,0.0045932
230, 3.81,0.0,0,0.0,23.3521,6960.03,9.0,0.343866,0.00992227,-0.00152403,60.4742,333,7550.96,0,0,0.321043,0.00656683
240, 4.03,0.0,0,0.0,27.2886,6963.97,9.0,0.343431,-0.0117464,-0.00325912,68.0681,333,9292.67,0,0,0.31709,0.00829631
250, 4.25,0.0,0,0.0,31.6875,6968.37,9.0,0.342873,-0.00859972,0.00684089,75.7741,333,9171.21,0,0,0.311659,0.0102938
