iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0,942.478,0,0,-0.333341,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1128.28,0,0,-0.333341,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1118.13,0,0,-0.333341,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1108.55,0,0,-0.333341,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1099.51,0,0,-0.333341,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,5679.1,9.0,0.345257,-0.000186426,0.00122581,0.0939856,0.0,1072.9,0,0,-0.333341,-3.98954e-06
60, 0.238,0.0,60,0.0,0.00878906,5679.11,9.0,0.345263,-0.000740176,0.00300837,-0.0837301,0,942.478,0,0,-0.333418,-9.9357e-05
70, 0.44,0.0,70,0.0,0.0175781,5679.11,9.0,0.345263,-0.000964184,0.00197483,0.0202689,0,942.478,0,0,-0.333497,-0.000290569
80, 0.642,0.0,80,0.0,0.0449219,5679.14,9.0,0.345323,0.00553055,-0.000479345,1.589,1.33789,942.478,0,0,-0.333736,-0.000871833
90, 0.842,0.0,90,0.0,0.118652,5679.22,9.0,0.34536,0.00607285,-0.00162073,2.87644,70,942.478,0,0,-0.334009,-0.00113552
100, 1.044,0.0,0,0.0,0.377441,5679.47,9.0,0.345386,-0.0015279,0.0169812,6.34082,333,942.478,0,0,-0.333995,-0.00154084
110, 1.244,0.0,0,0.0,0.76416,5679.86,9.0,0.345152,-0.0122847,0.0185984,5.94372,333,942.478,0,0,-0.333515,-0.00180739
120, 1.444,0.0,0,0.0,1.18994,5680.29,9.0,0.345451,0.00182006,0.0252799,9.4185,333,1185.71,0,0,-0.333046,-0.00262421
130, 1.644,0.0,0,0.0,1.81885,5680.92,9.0,0.345331,-0.00116959,0.0372859,13.2212,333,1610.15,0,0,-0.33239,-0.00391596
140, 1.844,0.0,0,0.0,2.66699,5681.76,9.0,0.345293,-0.000684888,0.0489067,17.3424,333,2098.36,0,0,-0.331336,-0.005665
150, 2.05,0.0,0,0.0,3.76953,5682.87,9.0,0.345185,-0.0131701,0.0413561,18.0312,333,942.478,0,0,-0.329349,-0.00789135
160, 2.27,0.0,0,0.0,4.97949,5684.08,9.0,0.345329,0.00550816,0.0264521,22.5306,333,2736.53,0,0,-0.326941,-0.0094735
170, 2.49,0.0,0,0.0,6.56055,5685.66,9.0,0.345133,-0.00271063,0.0317403,29.4112,333,3707.8,0,0,-0.323702,-0.0109369
180, 2.71,0.0,0,0.0,8.55322,5687.65,9.0,0.344841,-0.019925,0.0230068,31.6673,333,5182.09,0,0,-0.319068,-0.0127093
190, 2.93,0.0,0,0.0,10.6875,5689.78,9.0,0.344984,0.00292179,0.0335653,38.6802,333,5495.15,0,0,-0.313329,-0.0147278
200, 3.15,0.0,0,0.0,13.3022,5692.4,9.0,0.344586,-0.0071561,-0.00471411,46.8887,333,6408.78,0,0,-0.306089,-0.0147645
210, 3.37,0.0,0,0.0,16.397,5695.49,9.0,0.344207,-0.00624684,-0.00515082,54.6344,333,7362.96,0,0,-0.297964,-0.0138347
220, 3.59,0.0,0,0.0,19.6597,5698.76,9.0,0.343637,0.00214181,0.040534,51.4064,333,7331.47,0,0,-0.289757,-0.0133678
230, 3.81,0.0,0,0.0,23.0327,5702.13,9.0,0.344139,-0.0104484,0.0208805,58.9036,333,7302.75,0,0,-0.28038,-0.0162207
240, 4.03,0.0,0,0.0,26.8721,5705.97,9.0,0.343491,-0.00730668,-0.0303193,66.5011,333,9142.94,0,0,-0.2678,-0.0194508
250, 4.25,0.0,0,0.0,31.1738,5710.27,9.0,0.343001,-0.00916055,0.0400737,73.7313,333,9605.17,0,0,-0.253945,-0.0169603
260, 4.47,0.0,0,0.0,35.8169,5714.91,9.0,0.342538,-0.00455981,0.0302961,79.0863,333,6054.99,0,0,-0.240178,-0.0149257
270, 4.69,0.0,0,0.0,40.6846,5719.78,9.0,0.341871,-0.0150307,0.0111131,75.5589,333,6552.29,0,0,-0.226402,-0.014816
280, 4.91,0.0,0,0.0,45.4614,5724.56,9.0,0.342629,-0.0016314,-0.0242134,81.3202,333,6221.61,0,0,-0.214,-0.0137407
290, 5.13,0.0,0,0.0,50.4824,5729.58,9.0,0.341677,0.00230571,-0.0390163,79.5378,333,6066.42,0,0,-0.201616,-0.0140507
300, 5.35,0.0,0,0.0,55.5137,5734.61,9.0,0.342227,0.0113434,0.0346135,85.5999,333,6560.19,0,0,-0.189142,-0.0135328
310, 5.57,0.0,0,0.0,60.9575,5740.05,9.0,0.34144,0.0161925,0.0544679,92.4752,333,7103.51,0,0,-0.175959,-0.0131237
320, 5.79,0.0,0,0.0,66.8042,5745.9,9.0,0.340805,0.023556,0.00127936,98.7267,333,7600.65,0,0,-0.159934,-0.014888
330, 6.01,0.0,0,0.0,72.9126,5752.01,9.0,0.340098,0.0193297,0.00229175,95.8955,333,5725.52,0,0,-0.142578,-0.0169527
340, 6.23,0.0,0,0.0,78.9121,5758.01,9.0,0.340771,0.0320947,0.0390638,101.316,333,7755.95,0,0,-0.124179,-0.0179345
350, 6.45,0.0,0,0.0,85.2881,5764.39,9.0,0.339901,0.0215849,0.0838256,107.263,333,8038.12,0,0,-0.102805,-0.0195591
360, 6.67,0.0,0,0.0,92.0347,5771.13,9.0,0.339221,0.0156285,0.0524036,113.42,333,8678.74,0,0,-0.0751065,-0.0236236
370, 6.89,0.0,0,0.0,98.8975,5777.99,9.0,0.33855,0.0166653,-0.127932,107.337,333,6921.42,0,0,-0.0394509,-0.0347349
380, 7.11,0.0,0,0.0,105.739,0.738708,9.0,0.339627,-0.0173561,0.0349023,112.533,333,8434.02,0,0,0.00261896,-0.0441586
390, 7.33,0.0,0,0.0,112.768,7.76836,9.0,0.338601,-0.0587913,0.447669,113.956,333,6779.56,0,0,0.0517578,-0.0287527
400, 7.55,0.0,0,0.0,119.626,14.6255,9.0,0.339192,-0.0563727,0.312047,114.622,333,8716.29,0,0,0.0831854,-0.0148331
410, 7.77,0.0,0,0.0,126.692,21.6917,9.0,0.338359,-0.107355,0.113551,110.756,333,6526.97,0,0,0.10265,-0.0132286
420, 7.99,0.0,0,0.0,133.458,28.4577,9.0,0.339473,-0.0978361,0.0382567,113.415,333,8635.94,0,0,0.118142,-0.010798
