iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0,942.478,0,0,-0.333341,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1128.28,0,0,-0.333341,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1118.13,0,0,-0.333341,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1108.55,0,0,-0.333341,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1099.51,0,0,-0.333341,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,5679.1,9.0,0.345257,-0.000186426,0.00122581,0.0939856,0.0,1072.9,0,0,-0.333341,-3.98954e-06
60, 0.238,0.0,60,0.0,0.00878906,5679.11,9.0,0.345263,-0.000740176,0.00300837,-0.0837301,0,942.478,0,0,-0.333418,-9.9357e-05
70, 0.44,0.0,70,0.0,0.0151367,5679.11,9.0,0.345268,-0.00112853,0.00163568,-0.0157225,0.0030129999999,942.478,0,0,-0.333474,0.000189606
80, 0.642,0.0,80,0.0,0.0288086,5679.13,9.0,0.345263,0.00275686,-0.0404589,0.907996,70,942.478,0,0,-0.333595,0.00049955
90, 0.842,0.0,0,0.0,0.17334,5679.27,9.0,0.345422,-0.00470804,0.0116639,2.76142,3.91307,942.478,0,0,-0.333401,-0.000143226
100, 1.044,0.0,0,0.0,0.319336,5679.42,9.0,0.345368,0.0101744,0.013452,4.26596,333,942.478,0,0,-0.333238,-0.000305351
110, 1.244,0.0,0,0.0,0.651367,5679.75,9.0,0.345379,-0.00210003,0.020047,7.70688,333,977.816,0,0,-0.33312,-0.000986751
120, 1.444,0.0,0,0.0,1.1792,5680.28,9.0,0.345351,-0.00022038,0.0318244,11.3554,333,1400.68,0,0,-0.33273,-0.00210541
130, 1.644,0.0,0,0.0,1.8999,5681.0,9.0,0.345273,-0.0112897,0.0285153,11.7031,333,942.478,0,0,-0.332129,-0.00332087
140, 1.844,0.0,0,0.0,2.62207,5681.72,9.0,0.345351,0.00873593,0.0419637,14.9284,333,1835.48,0,0,-0.331209,-0.00474423
150, 2.05,0.0,0,0.0,3.604,5682.7,9.0,0.345271,-0.00247403,0.0532922,19.3743,333,2346.24,0,0,-0.329687,-0.00679844
160, 2.27,0.0,0,0.0,4.96387,5684.06,9.0,0.345211,-0.00114167,0.0295722,25.309,333,3112.65,0,0,-0.327227,-0.00901526
170, 2.49,0.0,0,0.0,6.63867,5685.74,9.0,0.344836,-0.0181592,0.0196128,26.5342,333,5310.07,0,0,-0.323925,-0.0108268
180, 2.71,0.0,0,0.0,8.48145,5687.58,9.0,0.345178,-0.00181134,0.0326676,34.0723,333,4514.03,0,0,-0.319698,-0.0126817
190, 2.93,0.0,0,0.0,10.8184,5689.92,9.0,0.344767,-0.00597976,0.0358037,42.1366,333,5867.72,0,0,-0.313414,-0.0149466
200, 3.15,0.0,0,0.0,13.502,5692.6,9.0,0.344169,-0.0104448,0.00155346,43.4628,333,7828.05,0,0,-0.30618,-0.0146767
210, 3.37,0.0,0,0.0,16.3486,5695.45,9.0,0.344541,-0.00568547,-0.00526104,50.5457,333,6733.62,0,0,-0.298763,-0.0134718
220, 3.59,0.0,0,0.0,19.5498,5698.65,9.0,0.343885,-0.00163099,0.0320921,53.8545,333,6661.66,0,0,-0.290989,-0.0136082
230, 3.81,0.0,0,0.0,23.0859,5702.18,9.0,0.343879,-0.0101869,0.0172662,61.4606,333,7713.24,0,0,-0.281049,-0.0167033
240, 4.03,0.0,0,0.0,27.084,5706.18,9.0,0.343336,-0.00808331,-0.0469877,69.2257,333,9496.7,0,0,-0.267626,-0.0194733
250, 4.25,0.0,0,0.0,31.542,5710.64,9.0,0.342807,-0.00957499,0.0347692,76.1127,333,9475.31,0,0,-0.253207,-0.0173833
260, 4.47,0.0,0,0.0,36.3384,5715.44,9.0,0.342316,-0.00523038,0.0290672,81.301,333,6239.77,0,0,-0.238821,-0.0161831
270, 4.69,0.0,0,0.0,41.1465,5720.24,9.0,0.341925,0.0181584,0.00876643,76.8835,333,6134.72,0,0,-0.225295,-0.0134417
280, 4.91,0.0,0,0.0,46.0469,5725.14,9.0,0.34238,-0.0121314,0.00256952,81.6897,82.1283,5174.33,0,0,-0.212846,-0.0132896
290, 5.13,0.0,0,0.0,50.7939,5729.89,9.0,0.342345,0.0379469,-0.0156162,79.1234,333,6016.68,0,0,-0.200817,-0.0140769
300, 5.35,0.0,0,0.0,55.8345,5734.93,9.0,0.342086,0.00730883,0.0319854,85.8237,333,6593.02,0,0,-0.188166,-0.0139663
310, 5.57,0.0,0,0.0,61.292,5740.39,9.0,0.341407,0.0181387,0.0604705,92.7102,333,7121.0,0,0,-0.174805,-0.0133745
320, 5.79,0.0,0,0.0,67.1484,5746.25,9.0,0.340784,0.0232413,0.0560362,98.8496,333,7421.02,0,0,-0.160201,-0.0139152
330, 6.01,0.0,0,0.0,73.3174,5752.41,9.0,0.340106,0.0188389,0.0761465,98.2384,333,5899.86,0,0,-0.142889,-0.0155837
340, 6.23,0.0,0,0.0,79.3452,5758.44,9.0,0.340672,0.0402413,0.00453785,101.512,333,7761.04,0,0,-0.123402,-0.0178315
350, 6.45,0.0,0,0.0,85.7344,5764.83,9.0,0.339893,0.0209916,-0.0274702,107.465,333,8052.93,0,0,-0.100852,-0.0212447
360, 6.67,0.0,0,0.0,92.4912,5771.59,9.0,0.339199,0.0151178,-0.0101851,113.616,333,8691.2,0,0,-0.0726984,-0.0256755
370, 6.89,0.0,0,0.0,99.4463,5778.54,9.0,0.338447,0.00842549,-0.0134755,109.991,333,6588.93,0,0,-0.0362882,-0.0332877
380, 7.11,0.0,0,0.0,106.478,1.47845,9.0,0.339237,-0.0184423,0.0505226,115.662,333,8819.32,0,0,0.00625888,-0.0426968
390, 7.33,0.0,0,0.0,113.546,8.54589,9.0,0.338223,-0.0518296,0.456065,110.018,333,7175.03,0,0,0.0568626,-0.0325235
400, 7.55,0.0,0,0.0,120.374,15.3745,9.0,0.339372,-0.0768519,0.211325,114.616,333,8576.82,0,0,0.0914418,-0.0193622
410, 7.77,0.0,0,0.0,127.552,22.5524,9.0,0.338415,-0.110627,0.150309,120.24,333,9135.64,0,0,0.113659,-0.0123969
