iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0,942.478,0,0,0.33333,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1128.28,0,0,0.33333,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1118.13,0,0,0.33333,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1108.55,0,0,0.33333,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1099.51,0,0,0.33333,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,6936.68,9.0,0.345259,0.00131036,-0.000105728,0.0945088,0.0,1072.89,0,0,0.33333,3.01992e-07
60, 0.238,0.0,60,0.0,0.00927734,6936.69,9.0,0.345266,0.000347528,0.00537846,-0.0115493,0.156273,942.478,0,0,0.33333,-1.01884e-05
70, 0.44,0.0,70,0.0,0.0185547,6936.7,9.0,0.345251,0.0017669,-0.0286419,0.335236,0,1059.36,0,0,0.333306,-8.12372e-05
80, 0.642,0.0,80,0.0,0.027832,6936.71,9.0,0.345257,8.33492e-05,-0.0122228,0.556857,70,942.478,0,0,0.333306,-0.000292476
90, 0.842,0.0,0,0.0,0.157715,6936.84,9.0,0.345432,-0.000535334,-0.00624937,4.05623,333,942.478,0,0,0.333306,-0.000156101
100, 1.044,0.0,0,0.0,0.361328,6937.04,9.0,0.345131,0.00614251,-0.00101399,3.91756,333,942.478,0,0,0.333305,0.000253979
110, 1.244,0.0,0,0.0,0.673828,6937.36,9.0,0.34543,-0.00237836,-0.0034023,7.35028,333,942.478,0,0,0.333305,0.000405614
120, 1.444,0.0,0,0.0,1.18066,6937.86,9.0,0.345354,-0.0015861,-0.00469108,10.9085,333,1362.85,0,0,0.333304,0.000622574
130, 1.644,0.0,0,0.0,1.89746,6938.58,9.0,0.345322,-0.00166917,-0.00834558,14.8993,333,1816.55,0,0,0.333303,0.000879113
140, 1.844,0.0,0,0.0,2.64746,6939.33,9.0,0.345144,0.0130776,-0.00784423,14.4908,333,1786.88,0,0,0.333302,0.000967328
150, 2.05,0.0,0,0.0,3.60205,6940.28,9.0,0.345322,-0.00471734,-0.00968664,18.8685,333,2282.22,0,0,0.3333,0.00133163
160, 2.27,0.0,0,0.0,4.92578,6941.61,9.0,0.345213,-0.00171681,-0.0121091,24.6233,333,3018.46,0,0,0.333225,0.00184423
170, 2.49,0.0,0,0.0,6.62598,6943.31,9.0,0.345047,-0.0141626,-0.00698225,27.5213,333,1675.67,0,0,0.332327,0.00274355
180, 2.71,0.0,0,0.0,8.40088,6945.08,9.0,0.345118,0.0105334,-0.0139057,32.5767,333,4136.28,0,0,0.33143,0.00366575
190, 2.93,0.0,0,0.0,10.5952,6947.28,9.0,0.344759,-0.00784535,-0.0144372,37.9517,333,4289.27,0,0,0.3301,0.00480015
200, 3.15,0.0,0,0.0,13.0308,6949.71,9.0,0.344585,-0.00166836,0.0163357,41.7313,333,3126.73,0,0,0.328586,0.00460989
210, 3.37,0.0,0,0.0,15.7363,6952.42,9.0,0.344418,-0.00419868,0.0272293,46.7312,333,7713.75,0,0,0.326979,0.00412828
220, 3.59,0.0,0,0.0,18.7168,6955.4,9.0,0.344231,-0.00293228,-0.0100472,51.1259,333,5842.44,0,0,0.324883,0.00502569
230, 3.81,0.0,0,0.0,21.9375,6958.62,9.0,0.344006,-0.00226243,-0.0170037,54.4643,333,4511.15,0,0,0.322258,0.00668222
240, 4.03,0.0,0,0.0,25.4351,6962.12,9.0,0.343821,-0.00474286,-0.00182471,59.248,333,6700.97,0,0,0.318688,0.00841982
250, 4.25,0.0,0,0.0,29.188,6965.87,9.0,0.343512,-0.00433489,-0.0137892,63.2124,333,4845.41,0,0,0.313816,0.0103453
