iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,5759.1,1.0,0.345256,-0.000193009,0.00128389,0.000308602,0,942.478,0,0,-0.333363,0.00894148
10, -0.782,0.0,10,0.0,0.0,5759.1,1.0,0.345256,-0.000193009,0.00128389,0.000308602,70.0,2406.39,0,0,-0.333363,0.00894148
20, -0.582,0.0,20,0.0,0.0,5759.1,1.0,0.345256,-0.000193009,0.00128389,0.000308602,70.0,5595.71,0,0,-0.333363,0.00894148
30, -0.382,0.0,30,0.0,0.0,5759.1,1.0,0.345256,-0.000193009,0.00128389,0.000308602,70.0,9583.95,0,0,-0.333363,0.00894148
40, -0.182,0.0,40,0.0,0.0,5759.1,1.0,0.345256,-0.000193009,0.00128389,0.000308602,70.0,9583.95,0,0,-0.333363,0.00894148
50, 0.038,0.0,50,0.0,0.0,5759.1,1.0,0.345256,0.000233091,0.0283907,0.24209,70,9568.61,0,0,-0.333363,0.00971586
60, 0.238,0.0,0,0.0,0.131348,5759.23,1.0,0.345359,-0.00267945,0.0176314,3.50764,333,942.478,0,0,-0.334162,0.00928003
70, 0.44,0.0,0,0.0,0.427246,5759.53,1.0,0.345382,0.00240002,0.0331302,7.01628,333,942.478,0,0,-0.333807,0.00800401
80, 0.642,0.0,0,0.0,0.92041,5760.02,1.0,0.345345,0.00323821,0.04744,10.6421,333,1323.67,0,0,-0.334495,0.00605613
90, 0.842,0.0,0,0.0,1.62012,5760.72,1.0,0.345312,0.00412943,0.0632719,14.5122,333,1774.34,0,0,-0.334206,0.00337917
100, 1.044,0.0,0,0.0,2.5542,5761.65,1.0,0.345267,0.00536227,0.0521956,18.7953,333,2270.46,0,0,-0.333696,0.000135247
110, 1.244,0.0,0,0.0,3.73828,5762.84,1.0,0.345215,0.00639791,0.0634487,23.9282,333,2923.54,0,0,-0.332808,-0.0031473
120, 1.444,0.0,0,0.0,5.24707,5764.35,1.0,0.345119,0.00727468,0.0732762,30.458,333,3878.16,0,0,-0.330833,-0.00746315
130, 1.644,0.0,0,0.0,7.14111,5766.24,1.0,0.344899,0.00162553,0.0348072,36.5759,333,5299.21,0,0,-0.326705,-0.0118839
140, 1.844,0.0,0,0.0,9.2832,5768.38,1.0,0.344609,0.00789739,0.0398945,39.9258,333,3427.82,0,0,-0.320912,-0.0157387
150, 2.05,0.0,0,0.0,11.7012,5770.8,2.0,0.344561,0.00471588,-0.548438,43.6948,333,4945.01,0,0,-0.323065,0.0109876
160, 2.27,0.0,0,0.0,14.5127,5773.61,2.0,0.34436,0.00732372,-0.27318,48.0521,333,3495.67,0,0,-0.340021,0.0356963
170, 2.49,0.0,0,0.0,17.5845,5776.68,2.0,0.344096,0.00378789,-0.127148,52.0773,333,5468.14,0,0,-0.365101,0.0460847
180, 2.71,0.0,0,0.0,20.9063,5780.01,2.0,0.343942,0.00189105,0.304281,56.2872,333,4966.07,0,0,-0.392223,0.0373705
190, 2.93,0.0,0,0.0,24.4888,5783.59,2.0,0.343678,-0.00301088,0.207758,60.6022,333,4644.67,0,0,-0.400435,-0.00319165
200, 3.15,0.0,0,0.0,28.4481,3.4502,2.0,0.343453,-0.0174995,0.0367051,64.4613,333,7315.14,0,0,-0.394331,-0.0264582
210, 3.37,0.0,0,0.0,32.5193,7.52142,2.0,0.34319,-0.0304897,0.0429636,69.2879,333,5296.87,0,0,-0.369229,-0.0384164
